Task Type,Feature Set,Num Features,Model,Accuracy,Train Time (s),Prediction Time (s),F1-Score (Binary),AUC-ROC (Binary),Specificity (Binary),F1-Score (Macro MC),AUC-ROC (Macro OvR MC)
binary,mi_top_10_features,10,Gradient Boosting,0.9926082115188704,16.73,0.044,0.9951552795031056,0.9986134077431772,0.9853,,
binary,mi_top_15_features,15,Logistic Regression,0.9059916131630695,2.105,0.003,0.9377822378324134,0.9350549132230122,0.8337,,
binary,mi_top_15_features,15,KNN,0.9966120969461489,0.72,5.486,0.9977798133801177,0.9980690676518985,0.9933,,
binary,mi_top_15_features,15,Decision Tree,0.9965410220569073,0.43,0.006,0.9977317921948794,0.9964775497531746,0.9952,,
binary,mi_top_15_features,15,Random Forest,0.9975360705062901,3.166,0.055,0.9983848423668271,0.9999057499456674,0.9962,,
binary,mi_top_15_features,15,Naive Bayes,0.8441327678931033,0.061,0.011,0.9016547827256828,0.84933873761992,0.5471,,
binary,mi_top_15_features,15,ANN (MLP),0.9826814186547893,16.512,0.024,0.9885886448430353,0.9963232885218417,0.9814,,
binary,mi_top_15_features,15,XGBoost,0.9972043876898292,0.31,0.008,0.9981667909520259,0.9998914418330281,0.9966,,
binary,mi_top_15_features,15,Gradient Boosting,0.9928451278163425,17.039,0.044,0.9953085192319642,0.9986747648172871,0.9872,,
binary,mi_top_20_features,20,Logistic Regression,0.9038593664858205,10.774,0.004,0.936510419926153,0.9457387655624205,0.8222,,
binary,mi_top_20_features,20,KNN,0.9972517709493236,0.028,5.666,0.9981992051664182,0.9980003554907013,0.9943,,
binary,mi_top_20_features,20,Decision Tree,0.9973939207278069,0.48,0.006,0.9982915540645482,0.997333004750225,0.9961,,
binary,mi_top_20_features,20,Random Forest,0.9976071453955317,3.499,0.043,0.9984317987733872,0.9997997935359682,0.9956,,
binary,mi_top_20_features,20,Naive Bayes,0.8377360278613566,0.075,0.015,0.8981061338649449,0.879391364214971,0.5176,,
binary,mi_top_20_features,20,ANN (MLP),0.9911393304745434,31.037,0.038,0.9941809808314662,0.9974046167220342,0.9886,,
binary,mi_top_20_features,20,XGBoost,0.9975360705062901,0.344,0.01,0.9983848925332339,0.9999243270514454,0.9961,,
binary,mi_top_20_features,20,Gradient Boosting,0.9935321850790115,18.588,0.046,0.9957617251176005,0.9985722080784873,0.9866,,
binary,all_features_post_pearson_corr,928,Logistic Regression,0.931507498400815,518.598,0.154,0.9532571262267782,0.9891813375143593,0.9839,,
binary,all_features_post_pearson_corr,928,KNN,0.9966594802056433,1.395,67.458,0.997809640687866,0.9984589509143407,0.9952,,
binary,all_features_post_pearson_corr,928,Decision Tree,0.9982231277689593,10.717,0.183,0.9988356026144602,0.9977433915986215,0.9966,,
binary,all_features_post_pearson_corr,928,Random Forest,0.9985548105854202,27.387,0.261,0.9990532507643836,0.9998692259927349,0.9963,,
binary,all_features_post_pearson_corr,928,Naive Bayes,0.8831291904570115,3.79,0.787,0.928850619474132,0.753668139339936,0.5076,,
binary,all_features_post_pearson_corr,928,ANN (MLP),0.9961145727214575,169.585,0.289,0.9974553917765709,0.9986682511099383,0.9902,,
binary,all_features_post_pearson_corr,928,Gradient Boosting,0.9941718590821863,200.015,0.345,0.996177750155376,0.9980207410972087,0.9906,,
multiclass,rf_top_10_features,10,Logistic Regression,0.5619654576038285,192.196,0.006,,,,0.45612601512120776,0.8611297354510363
multiclass,rf_top_10_features,10,KNN,0.9649363879741287,1.059,6.895,,,,0.9322844182483975,0.9822903944268155
multiclass,rf_top_10_features,10,Decision Tree,0.965978819683006,1.265,0.008,,,,0.9343692064676359,0.9773859990946466
multiclass,rf_top_10_features,10,Random Forest,0.9676609253950579,8.999,0.205,,,,0.9386991769627953,0.9949471522495973
multiclass,rf_top_10_features,10,Naive Bayes,0.19865431543035844,0.168,0.06,,,,0.10383254289968377,0.7304803540852848
multiclass,rf_top_10_features,10,ANN (MLP),0.8735340804093914,130.027,0.053,,,,0.8310484693625476,0.9834880691187846
multiclass,rf_top_10_features,10,XGBoost,0.9691534980691322,15.722,0.086,,,,0.9384117473197164,0.9985896416800936
multiclass,rf_top_10_features,10,Gradient Boosting,0.9608851192873558,392.872,0.518,,,,0.9198135339600018,0.9971412177097699
multiclass,rf_top_15_features,15,Logistic Regression,0.5668696249615011,477.563,0.007,,,,0.45101001251705125,0.8880394766772651
multiclass,rf_top_15_features,15,KNN,0.965410220569073,1.141,7.715,,,,0.9333240872550881,0.982090544542243
